,Years,Month Code,County,County Code,TotalDeaths,latitude,longitude,Population
2,2007-2016,2007/01,"Los Angeles County, CA",6037,5252,34.3155072,-118.2096814,9920361
7,2007-2016,2007/01,"Cook County, IL",17031,5113,41.8197385,-87.756525,5240022
11,2007-2016,2007/01,"Wayne County, MI",26163,3044,42.2682408,-83.2844172,1831537
19,2007-2016,2007/01,"Harris County, TX",48201,2984,29.8119769,-95.3741247,4194346
15,2007-2016,2007/01,"Philadelphia County, PA",42101,2588,40.0114538,-75.1326504,1548261
0,2007-2016,2007/01,"Maricopa County, AZ",4013,1851,33.34883,-112.49123,3959914
6,2007-2016,2007/01,"Miami-Dade County, FL",12086,1845,25.6364246,-80.4989467,2592610
10,2007-2016,2007/01,"Baltimore city, MD",24510,1743,39.2559916,-76.634341,626196
18,2007-2016,2007/01,"Dallas County, TX",48113,1389,32.7620405,-96.7790069,2694973
8,2007-2016,2007/01,"Orleans Parish, LA",22071,1241,30.0801436,-89.9319134,358363
16,2007-2016,2007/01,"Shelby County, TN",47157,1117,35.1782557,-89.8739775,931957
64,2007-2016,2007/04,"Kings County, NY",36047,898,40.64530975,-73.95502303,2559891
27,2007-2016,2007/02,"Marion County, IN",18097,663,39.7810289,-86.1365457,923839
1,2007-2016,2007/01,"Alameda County, CA",6001,591,37.6090291,-121.899142,1521406
217,2007-2016,2007/11,"St. Louis city, MO",29510,506,38.6267938,-90.19770345,326368
58,2007-2016,2007/04,"Fulton County, GA",13121,486,34.0580391,-84.2961283,973021
5,2007-2016,2007/01,"Duval County, FL",12031,476,30.3540073,-81.6632109,872179
13,2007-2016,2007/01,"Essex County, NJ",34013,459,40.7913922,-74.2479444,784003
12,2007-2016,2007/01,"Clark County, NV",32003,444,36.13440979,-115.0472645,2018684
17,2007-2016,2007/01,"Bexar County, TX",48029,435,29.4263987,-98.5104781,1745193
23,2007-2016,2007/02,"San Bernardino County, CA",6071,429,34.8253019,-116.0833144,2046651
47,2007-2016,2007/03,"Cuyahoga County, OH",39035,428,41.4301347,-81.6905558,1264311
174,2007-2016,2007/09,"Jackson County, MO",29095,427,40.6531945,-106.3447246,682764
92,2007-2016,2007/06,"Jefferson County, AL",1073,414,33.5228184,-86.9164513,660101
4,2007-2016,2007/01,"District of Columbia, DC",11001,396,38.8949549,-77.0366456,656419
52,2007-2016,2007/03,"Milwaukee County, WI",55079,379,43.01641545,-87.97373035,835783
347,2007-2016,2008/06,"Franklin County, OH",39049,277,40.0283162,-83.0076657,1190986
14,2007-2016,2007/01,"Allegheny County, PA",42003,273,40.4597204,-79.9760405,1209233
9,2007-2016,2007/01,"Prince George's County, MD",24033,268,38.803929,-76.8518695,860681
737,2007-2016,2010/06,"St. Louis County, MO",29189,247,38.63904535,-90.51882739,1000651
200,2007-2016,2007/10,"Tarrant County, TX",48439,184,32.7513658,-97.335696,1862672
25,2007-2016,2007/02,"DeKalb County, GA",13089,183,33.7575613,-84.2186508,725019
85,2007-2016,2007/05,"Bronx County, NY",36005,180,40.85703325,-73.83669616,1396333
74,2007-2016,2007/05,"Riverside County, CA",6065,177,33.7219991,-116.0372472,2285215
60,2007-2016,2007/04,"East Baton Rouge Parish, LA",22033,173,30.5254797,-91.0899217,439115
78,2007-2016,2007/05,"Orange County, FL",12095,160,28.495156,-81.3111658,1191827
209,2007-2016,2007/11,"Palm Beach County, FL",12099,151,26.6279798,-80.4494174,1361187
40,2007-2016,2007/03,"Broward County, FL",12011,139,26.1598074,-80.4623642,1817308
80,2007-2016,2007/05,"Lake County, IN",18089,113,41.4193829,-87.3692227,704630
