Year,Month,County,County_Code,Deaths,latitude,longitude,Population
2007,Jan,"Maricopa County, AZ",4013,24,33.34883,-112.49123,3873000
2007,Jan,"Alameda County, CA",6001,11,37.6090291,-121.899142,1449000
2007,Jan,"Los Angeles County, CA",6037,64,34.3155072,-118.2096814,9735000
2007,Jan,"Sacramento County, CA",6067,12,38.4732259,-121.2980707,1374000
2007,Jan,"District of Columbia, DC",11001,14,38.8949549,-77.0366456,659009
2007,Jan,"Duval County, FL",12031,14,30.3540073,-81.6632109,848841
2007,Jan,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467,2454000
2007,Jan,"Cook County, IL",17031,21,41.8197385,-87.756525,5236000
2007,Jan,"Orleans Parish, LA",22071,12,30.0801436,-89.9319134,288113
2007,Jan,"Prince George's County, MD",24033,10,38.803929,-76.8518695,832699
2007,Jan,"Baltimore city, MD",24510,19,39.2559916,-76.634341,640150
2007,Jan,"Wayne County, MI",26163,23,42.2682408,-83.2844172,1981000
2007,Jan,"Clark County, NV",32003,13,36.13440979,-115.0472645,1839000
2007,Jan,"Essex County, NJ",34013,10,40.7913922,-74.2479444,769139
2007,Jan,"Allegheny County, PA",42003,12,40.4597204,-79.9760405,1022000
2007,Jan,"Philadelphia County, PA",42101,28,40.0114538,-75.1326504,1530000
2007,Jan,"Shelby County, TN",47157,15,35.1782557,-89.8739775,919964
2007,Jan,"Bexar County, TX",48029,12,29.4263987,-98.5104781,1589000
2007,Jan,"Dallas County, TX",48113,13,32.7620405,-96.7790069,2382000
2007,Jan,"Harris County, TX",48201,27,29.8119769,-95.3741247,3909000
2007,Feb,"Maricopa County, AZ",4013,26,33.34883,-112.49123,3873000
2007,Feb,"Los Angeles County, CA",6037,51,34.3155072,-118.2096814,9735000
2007,Feb,"Sacramento County, CA",6067,10,38.4732259,-121.2980707,1374000
2007,Feb,"San Bernardino County, CA",6071,11,34.8253019,-116.0833144,1993000
2007,Feb,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,2454000
2007,Feb,"DeKalb County, GA",13089,10,33.7575613,-84.2186508,733746
2007,Feb,"Cook County, IL",17031,24,41.8197385,-87.756525,5236000
2007,Feb,"Marion County, IN",18097,10,39.7810289,-86.1365457,878190
2007,Feb,"Orleans Parish, LA",22071,11,30.0801436,-89.9319134,288113
2007,Feb,"Baltimore city, MD",24510,14,39.2559916,-76.634341,640150
2007,Feb,"Wayne County, MI",26163,19,42.2682408,-83.2844172,1981000
2007,Feb,"Clark County, NV",32003,11,36.13440979,-115.0472645,1839000
2007,Feb,"Allegheny County, PA",42003,10,40.4597204,-79.9760405,1022000
2007,Feb,"Philadelphia County, PA",42101,19,40.0114538,-75.1326504,1530000
2007,Feb,"Dallas County, TX",48113,16,32.7620405,-96.7790069,2382000
2007,Feb,"Harris County, TX",48201,20,29.8119769,-95.3741247,3909000
2007,Mar,"Maricopa County, AZ",4013,21,33.34883,-112.49123,3873000
2007,Mar,"Los Angeles County, CA",6037,51,34.3155072,-118.2096814,9735000
2007,Mar,"San Bernardino County, CA",6071,13,34.8253019,-116.0833144,1993000
2007,Mar,"District of Columbia, DC",11001,10,38.8949549,-77.0366456,659009
2007,Mar,"Broward County, FL",12011,13,26.1598074,-80.4623642,1747000
2007,Mar,"Miami-Dade County, FL",12086,11,25.6364246,-80.4989467,2454000
2007,Mar,"Cook County, IL",17031,41,41.8197385,-87.756525,5236000
2007,Mar,"Orleans Parish, LA",22071,15,30.0801436,-89.9319134,288113
2007,Mar,"Prince George's County, MD",24033,14,38.803929,-76.8518695,832699
2007,Mar,"Baltimore city, MD",24510,23,39.2559916,-76.634341,640150
2007,Mar,"Wayne County, MI",26163,26,42.2682408,-83.2844172,1981000
