Year,Month,Deaths
2007,Jan,1146
2007,Feb,907
2007,Mar,1108
2007,Apr,1166
2007,May,1149
2007,Jun,1283
2007,Jul,1315
2007,Aug,1291
2007,Sep,1111
2007,Oct,1155
2007,Nov,1109
2007,Dec,1192
2008,Jan,1057
2008,Feb,976
2008,Mar,1069
2008,Apr,1118
2008,May,1082
2008,Jun,1187
2008,Jul,1222
2008,Aug,1197
2008,Sep,1196
2008,Oct,1114
2008,Nov,1121
2008,Dec,1099
2009,Jan,1040
2009,Feb,796
2009,Mar,993
2009,Apr,1068
2009,May,1135
2009,Jun,1079
2009,Jul,1228
2009,Aug,1135
2009,Sep,1043
2009,Oct,1048
2009,Nov,1084
2009,Dec,1034
2010,Jan,1006
2010,Feb,760
2010,Mar,999
2010,Apr,1056
2010,May,1117
2010,Jun,1069
2010,Jul,1164
2010,Aug,1057
2010,Sep,1038
2010,Oct,1076
2010,Nov,998
2010,Dec,1008
2011,Jan,971
2011,Feb,774
2011,Mar,952
2011,Apr,1074
2011,May,1146
2011,Jun,986
2011,Jul,1238
2011,Aug,1061
2011,Sep,1064
2011,Oct,1061
2011,Nov,1029
2011,Dec,1072
2012,Jan,1059
2012,Feb,815
2012,Mar,1038
2012,Apr,1054
2012,May,1072
2012,Jun,1108
2012,Jul,1245
2012,Aug,1164
2012,Sep,1145
2012,Oct,1040
2012,Nov,1054
2012,Dec,1171
2013,Jan,1073
2013,Feb,786
2013,Mar,994
2013,Apr,981
2013,May,1022
2013,Jun,1129
2013,Jul,1194
2013,Aug,1078
2013,Sep,1020
2013,Oct,1074
2013,Nov,1066
2013,Dec,1106
2014,Jan,941
2014,Feb,772
2014,Mar,956
2014,Apr,993
2014,May,1087
2014,Jun,1086
2014,Jul,1047
2014,Aug,1108
2014,Sep,1020
2014,Oct,1047
2014,Nov,1046
2014,Dec,1165
2015,Jan,1149
2015,Feb,861
2015,Mar,1106
2015,Apr,1027
2015,May,1229
2015,Jun,1201
2015,Jul,1376
2015,Aug,1314
2015,Sep,1284
2015,Oct,1203
2015,Nov,1239
2015,Dec,1298
2016,Jan,1198
2016,Feb,996
2016,Mar,1196
2016,Apr,1257
2016,May,1293
2016,Jun,1396
2016,Jul,1457
2016,Aug,1464
2016,Sep,1366
2016,Oct,1415
2016,Nov,1401
2016,Dec,1330
